label,src_dir,row,col,num_points,mask,HH_0_0,HV_0_0,IA_0_0,FYI,MYI
4.841,./data/SAR/20180429_235956_canny.tif,408,4069,1,3,0.5372549019607843,0.1450980392156863,0.1300096399643842,0.008095289580523968,0.9919047951698303
3.209,./data/SAR/20180429_235956_canny.tif,409,4070,1,3,0.4627450980392157,0.1490196078431372,0.130021697399663,0.009719474241137505,0.9902805685997009
2.695,./data/SAR/20180429_235956_canny.tif,410,4071,1,3,0.5490196078431373,0.2117647058823529,0.1300337398753446,0.01123460941016674,0.9887653589248657
5.61,./data/SAR/20180429_235956_canny.tif,411,4071,1,3,0.5450980392156862,0.192156862745098,0.1300337398753446,0.04287567362189293,0.9571242928504944
6.091,./data/SAR/20180429_235956_canny.tif,413,4072,1,3,0.4862745098039215,0.1450980392156863,0.1300457973106234,0.028076760470867157,0.9719232320785522
5.483,./data/SAR/20180429_235956_canny.tif,414,4073,1,3,0.4627450980392157,0.1686274509803921,0.1300578397863051,0.22253701090812683,0.7774630188941956
5.65,./data/SAR/20180429_235956_canny.tif,415,4073,1,3,0.4313725490196078,0.196078431372549,0.1300578397863051,0.3058263957500458,0.6941735744476318
6.985,./data/SAR/20180429_235956_canny.tif,416,4074,1,3,0.2862745098039215,0.1450980392156863,0.1300698972215839,0.47626274824142456,0.5237373113632202
8.429,./data/SAR/20180429_235956_canny.tif,417,4075,1,3,0.2627450980392157,0.0745098039215686,0.1300819396972656,0.5195931792259216,0.48040685057640076
4.583,./data/SAR/20180429_235956_canny.tif,419,4076,1,1,0.2627450980392157,0.0980392156862745,0.1300939971325444,0.5289726257324219,0.4710274040699005
2.331,./data/SAR/20180429_235956_canny.tif,421,4077,1,1,0.2627450980392157,0.0901960784313725,0.1301060396082261,0.6371939182281494,0.3628060817718506
2.053,./data/SAR/20180429_235956_canny.tif,422,4077,1,1,0.2627450980392157,0.1137254901960784,0.1301060396082261,0.7560756206512451,0.24392443895339966
2.296,./data/SAR/20180429_235956_canny.tif,423,4078,1,1,0.1568627450980392,0.1215686274509803,0.1301180970435049,0.853681743144989,0.146318256855011
1.955,./data/SAR/20180429_235956_canny.tif,425,4079,1,1,0.2156862745098039,0.1058823529411764,0.1301301395191866,0.959611713886261,0.040388237684965134
1.669,./data/SAR/20180429_235956_canny.tif,426,4079,1,0,0.2313725490196078,0.0666666666666666,0.1301301395191866,0.9739208221435547,0.02607918530702591
3.924,./data/SAR/20180429_235956_canny.tif,427,4080,1,1,0.1725490196078431,0.0745098039215686,0.1301421819948682,0.9853643774986267,0.014635667204856873
1.691,./data/SAR/20180429_235956_canny.tif,428,4080,1,1,0.1725490196078431,0.0627450980392156,0.1301421819948682,0.9718227982521057,0.028177184984087944
1.434,./data/SAR/20180429_235956_canny.tif,430,4081,1,3,0.192156862745098,0.0784313725490196,0.130154239430147,0.9665438532829285,0.03345618024468422
1.357,./data/SAR/20180429_235956_canny.tif,431,4082,1,3,0.1803921568627451,0.0745098039215686,0.1301662819058287,0.9528298377990723,0.04717015102505684
1.54,./data/SAR/20180429_235956_canny.tif,432,4082,1,3,0.2078431372549019,0.0627450980392156,0.1301662819058287,0.9277184009552002,0.07228162884712219
1.726,./data/SAR/20180429_235956_canny.tif,433,4083,1,3,0.2470588235294117,0.0901960784313725,0.1301783393411075,0.9186428189277649,0.08135716617107391
2.824,./data/SAR/20180429_235956_canny.tif,434,4083,1,3,0.2549019607843137,0.0901960784313725,0.1301783393411075,0.9382956624031067,0.06170432269573212
4.74,./data/SAR/20180429_235956_canny.tif,435,4084,1,3,0.2941176470588235,0.0745098039215686,0.1301903818167892,0.607379674911499,0.39262035489082336
3.858,./data/SAR/20180429_235956_canny.tif,437,4085,1,0,0.2666666666666666,0.0901960784313725,0.130202439252068,0.25102147459983826,0.7489784955978394
4.626,./data/SAR/20180429_235956_canny.tif,438,4085,1,3,0.2980392156862745,0.0823529411764705,0.130202439252068,0.22944769263267517,0.7705522775650024
3.332,./data/SAR/20180429_235956_canny.tif,439,4086,1,3,0.4980392156862745,0.1725490196078431,0.1302144817277497,0.07783243060112,0.9221675992012024
3.54,./data/SAR/20180429_235956_canny.tif,440,4087,1,3,0.5137254901960784,0.1411764705882353,0.1302265391630284,0.25878170132637024,0.7412183284759521
4.095,./data/SAR/20180429_235956_canny.tif,442,4087,1,0,0.4588235294117647,0.1215686274509803,0.1302265391630284,0.5301530361175537,0.46984702348709106
3.487,./data/SAR/20180429_235956_canny.tif,443,4088,1,3,0.2235294117647059,0.0745098039215686,0.1302385816387101,0.45499613881111145,0.5450038909912109
3.002,./data/SAR/20180429_235956_canny.tif,444,4089,1,3,0.3607843137254902,0.0941176470588235,0.1302506390739889,0.32229527831077576,0.6777048110961914
3.523,./data/SAR/20180429_235956_canny.tif,445,4089,1,0,0.3372549019607843,0.1137254901960784,0.1302506390739889,0.44632259011268616,0.5536774396896362
3.863,./data/SAR/20180429_235956_canny.tif,446,4090,1,3,0.2784313725490196,0.1333333333333333,0.1302626815496706,0.41441863775253296,0.5855814218521118
1.886,./data/SAR/20180429_235956_canny.tif,447,4091,1,0,0.4,0.1176470588235294,0.1302747389849494,0.37823715806007385,0.6217628717422485
2.048,./data/SAR/20180429_235956_canny.tif,449,4092,1,3,0.3647058823529411,0.1294117647058823,0.1302867814606311,0.2332601249217987,0.7667399048805237
2.295,./data/SAR/20180429_235956_canny.tif,450,4092,1,0,0.2313725490196078,0.0901960784313725,0.1302867814606311,0.11094369739294052,0.8890563249588013
2.119,./data/SAR/20180429_235956_canny.tif,451,4093,1,3,0.3254901960784314,0.1058823529411764,0.1302988388959099,0.13244500756263733,0.8675550222396851
